Frame,Rojo_X,Rojo_Y,Rojo_Z
1,91.0,286.2,-70.8
2,941.0,286.2,-70.8
3,941.0,286.2,-70.8
4,941.0,286.2,-70.8
5,941.0,286.2,-70.8
6,941.0,286.2,-70.8
7,941.0,286.2,-70.8
8,-5.9,237.0,712.0
9,-5.9,237.9,712.0
10,-5.9,237.9,712.0
11,-5.9,237.0,712.0
12,-5.9,237.0,712.0
13,-5.9,237.9,712.0
14,-5.9,237.0,712.0
15,-5.9,237.0,712.0
16,-5.9,237.0,712.0
17,-5.9,237.0,712.0
18,28.0,2310.0,-69.0
19,28.0,2310.0,-69.0
20,28.0,2310.0,-69.0
21,28.0,2310.0,-69.0
22,28.0,2310.0,-69.0
23,26.0,2310.0,-69.0
24,26.0,2310.0,-69.0
25,26.0,2310.0,-69.0
26,26.0,2310.0,-69.0
27,26.0,2310.0,-69.0
28,37.0,232.0,-64.7
29,37.0,232.0,-64.7
30,37.0,232.0,-64.7
31,37.0,232.0,-64.7
32,37.0,232.0,-64.7
33,37.0,232.0,-64.7
34,37.0,232.0,-64.7
35,37.0,232.0,-64.7
36,37.0,232.0,-64.7
37,37.0,232.0,-64.7
38,37.0,232.0,-64.7
39,37.0,232.0,-64.7
40,37.0,232.0,-64.7
41,37.0,232.0,-64.7
42,37.0,232.0,-64.7
43,-5.9,243.0,-65.8
44,-5.9,243.0,-65.8
45,-5.9,243.0,-65.8
46,-5.9,243.0,-65.8
47,-5.9,243.0,-65.8
48,-5.9,243.0,-65.8
49,-5.9,243.0,-65.8
50,-5.9,243.0,-65.8
51,-5.9,243.0,-65.8
52,-5.9,243.0,-65.8
53,37.0,2426.0,-69.0
54,37.0,2426.0,-69.0
55,37.0,2426.0,-69.0
56,37.0,2426.0,-69.0
57,37.0,2426.0,-69.0
58,37.0,2426.0,-69.0
59,37.0,2426.0,-69.0
60,37.0,2426.0,-69.0
61,37.0,2426.0,-69.0
62,37.0,2426.0,-69.0
63,26.0,245.9,-69.0
64,26.0,245.9,-69.0
65,26.0,245.9,-69.0
66,26.0,245.9,-69.0
67,26.0,245.9,-69.0
68,26.0,245.9,-69.0
69,26.0,245.9,-69.0
70,26.0,245.9,-69.0
71,26.0,245.9,-69.0
72,26.0,245.9,-69.0
73,26.0,245.9,-69.0
74,26.0,245.9,-69.0
75,26.0,245.9,-69.0
76,26.0,245.9,-69.0
77,26.0,245.9,-69.0
78,-4.2,2816.0,-69.0
79,42.0,2816.0,-69.0
80,402.0,2816.0,-69.0
81,402.0,2816.0,-69.0
82,402.0,2816.0,-69.0
83,2.0,2816.0,-69.0
84,2.0,2816.0,-69.0
85,2.0,2816.0,-69.0
86,2.0,2816.0,-69.0
87,2.0,2816.0,-69.0
88,84.0,255.3,712.0
89,84.0,255.3,712.0
90,84.0,255.3,712.0
91,84.0,255.3,712.0
92,84.0,255.3,712.0
93,84.0,255.3,712.0
94,84.0,255.3,712.0
95,84.0,255.3,712.0
96,84.0,255.3,712.0
97,84.0,255.3,712.0
98,84.0,255.3,712.0
99,84.0,255.3,712.0
100,84.0,255.3,712.0
101,84.0,255.3,712.0
102,84.0,255.3,712.0
103,-4.68,2447.0,-68.0
104,-4.68,2447.0,-68.0
105,-4.68,2447.0,-68.0
106,-4.68,2447.0,-68.0
107,-4.68,2447.0,-68.0
108,-4.6,2447.0,-68.0
109,-4.6,2447.0,-68.0
110,-4.6,2447.0,-68.0
111,-4.6,2447.0,-68.0
112,-4.6,2447.0,-68.0
113,37.0,235.3,-64.7
114,37.0,235.3,-64.7
115,37.0,235.3,-64.7
116,37.0,235.3,-64.7
117,37.0,235.3,-64.7
118,37.0,235.3,-64.7
119,37.0,235.3,-64.7
120,37.0,235.3,-64.7
121,37.0,235.3,-64.7
122,37.0,235.3,-64.7
123,-5.9,250.5,-69.0
124,-5.9,250.5,-69.0
125,-5.9,250.5,-69.0
126,-5.9,250.5,-69.0
127,-5.9,250.5,-69.0
128,-5.9,250.5,-69.0
129,-5.9,250.5,-69.0
130,-5.9,250.5,-69.0
131,-5.9,250.5,-69.0
132,-5.9,250.5,-69.0
133,-5.9,250.5,-69.0
134,-5.9,250.5,-69.0
135,-5.9,250.5,-69.0
