Frame,Fuerza_X,Fuerza_Y,Fuerza_Z
1,0.0,-9.1,-9.7
2,0.0,-9.1,-9.7
3,0.0,-9.1,-9.7
4,0.0,-9.1,-9.7
5,0.0,-9.1,-9.7
6,0.0,-9.1,-9.7
7,0.0,-9.1,-9.7
8,0.0,-5.9,-0.9
9,0.0,-5.9,-0.9
10,0.0,-5.9,-0.9
11,0.0,-5.9,-0.9
12,0.0,-5.9,-0.9
13,0.0,-5.9,-0.9
14,0.0,-5.9,-0.9
15,0.0,-5.9,-0.9
16,0.0,-5.9,-0.9
17,0.0,-5.9,-0.9
18,0.0,26.0,-2.6
19,0.0,26.0,-2.6
20,0.0,26.0,-2.6
21,0.0,26.0,-2.6
22,0.0,26.0,-2.6
23,0.0,26.0,-2.6
24,0.0,26.0,-2.6
25,0.0,26.0,-2.6
26,0.0,26.0,-2.6
27,0.0,26.0,-2.6
28,0.0,-3.7,3.0
29,0.0,-3.7,3.0
30,0.0,-3.7,3.0
31,0.0,-3.7,3.0
32,0.0,-3.7,3.0
33,0.0,-3.7,3.0
34,0.0,-3.7,3.0
35,0.0,-3.7,3.0
36,0.0,-3.7,3.0
37,0.0,-3.7,3.0
38,0.0,-3.7,3.0
39,0.0,-3.7,3.0
40,0.0,-3.7,3.0
41,0.0,-3.7,3.0
42,0.0,-3.7,3.0
43,0.0,-5.9,-0.9
44,0.0,-5.9,-0.9
45,0.0,-5.9,-0.9
46,0.0,6.0,-0.9
47,0.0,-5.9,-0.9
48,0.0,-5.9,-0.9
49,0.0,-5.9,-0.9
50,0.0,-5.9,-0.9
51,0.0,-5.9,-0.9
52,0.0,-5.9,-0.9
53,0.0,-3.7,3.0
54,0.0,-3.7,3.0
55,0.0,-3.7,3.0
56,0.0,-3.7,3.0
57,0.0,-3.7,3.0
58,0.0,-3.7,3.0
59,0.0,-3.7,3.0
60,0.0,-3.7,3.0
61,0.0,-3.7,3.0
62,0.0,-3.7,3.0
63,0.0,-2.6,-2.0
64,0.0,-2.6,-2.0
65,0.0,-2.6,-2.0
66,0.0,-2.6,-2.0
67,0.0,-2.6,-2.0
68,0.0,-2.6,-2.0
69,0.0,-2.6,-2.0
70,0.0,-2.6,-2.0
71,0.0,-2.6,-2.0
72,0.0,-2.6,-2.0
73,0.0,-2.6,-2.0
74,0.0,-2.6,-2.0
75,0.0,-2.6,-2.0
76,0.0,-2.6,-2.0
77,0.0,-2.6,-2.0
78,0.0,7.0,-0.2
79,0.0,4.0,-0.2
80,0.0,4.0,-0.2
81,0.0,4.0,-0.2
82,0.0,4.0,-0.2
83,0.0,4.0,2516.0
84,0.0,4.0,2516.0
85,0.0,4.0,2516.0
86,0.0,4.0,2516.0
87,0.0,4.0,2516.0
88,0.0,94.0,-9.7
89,0.0,94.0,-9.7
90,0.0,94.0,-9.7
91,0.0,94.0,-9.7
92,0.0,94.0,-9.7
93,0.0,94.0,-9.7
94,0.0,94.0,-9.7
95,0.0,94.0,-9.7
96,0.0,94.0,-9.7
97,0.0,94.0,-9.7
98,0.0,94.0,-9.7
99,0.0,94.0,-9.7
100,0.0,94.0,-9.7
101,0.0,94.0,-9.7
102,0.0,94.0,-9.7
103,0.0,-4.8,-4.6
104,0.0,-4.8,-4.6
105,0.0,-4.8,-4.6
106,0.0,-4.8,-4.6
107,0.0,-4.8,-4.6
108,0.0,-4.8,-4.6
109,0.0,-4.8,-4.6
110,0.0,-4.8,-4.6
